iter	Logloss
0	0.6800565362
1	0.6664231317
2	0.6544027949
3	0.645601879
4	0.6324285337
5	0.6208104375
6	0.6119746612
7	0.6023429027
8	0.5910993253
9	0.5801038242
10	0.5699870203
11	0.5604276894
12	0.5502963827
13	0.5406845772
14	0.5309602654
15	0.5220874335
16	0.5133506307
17	0.5055063126
18	0.497358509
19	0.4904236011
20	0.4848837091
21	0.4773066141
22	0.4693095491
23	0.4617980035
24	0.4551395304
25	0.448019943
26	0.4409958179
27	0.4336314375
28	0.4274670633
29	0.4225438517
30	0.4176806265
31	0.4132817909
32	0.4078118485
33	0.4021086879
34	0.3960842895
35	0.3914072535
36	0.3856601102
37	0.3806707815
38	0.3751128103
39	0.3703563824
40	0.3650566548
41	0.3599156246
42	0.3558134141
43	0.3521105282
44	0.3483462414
45	0.3454356829
46	0.3414366402
47	0.337306538
48	0.3335132974
49	0.3296909493
50	0.3258241536
51	0.3221089063
52	0.318202546
53	0.3145196346
54	0.3110826019
55	0.3072130024
56	0.3050500944
57	0.3034466964
58	0.3011073126
59	0.2980960153
60	0.294727752
61	0.2913687493
62	0.2887782056
63	0.2864182867
64	0.2837561404
65	0.2813402924
66	0.2788869494
67	0.2776221353
68	0.2751465452
69	0.2726110949
70	0.2702083782
71	0.2680133355
72	0.2657337622
73	0.2643251777
74	0.2621196908
75	0.2604554576
76	0.2584810669
77	0.2564781756
78	0.2550249725
79	0.2534870573
80	0.2522514843
81	0.2509747008
82	0.248820028
83	0.2465965692
84	0.2455555104
85	0.2436933584
86	0.2417567032
87	0.2398574212
88	0.238877579
89	0.237327742
90	0.2361727055
91	0.2344252632
92	0.2332845162
93	0.2321823159
94	0.2311194784
95	0.2300229554
96	0.2284148565
97	0.2279659985
98	0.2264989472
99	0.2255685028
