iter	Passed	Remaining
0	17	1756
1	28	1386
2	35	1132
3	42	1013
4	52	1006
5	58	910
6	65	865
7	81	940
8	95	969
9	104	944
10	113	915
11	128	942
12	133	896
13	147	904
14	154	875
15	165	868
16	172	841
17	188	860
18	193	824
19	207	830
20	214	806
21	223	791
22	235	789
23	255	808
24	285	857
25	301	858
26	310	840
27	318	819
28	341	836
29	394	921
30	455	1013
31	471	1001
32	533	1082
33	573	1113
34	592	1100
35	603	1073
36	617	1050
37	628	1025
38	651	1019
39	659	989
40	668	962
41	679	937
42	699	927
43	715	910
44	723	884
45	729	856
46	744	839
47	783	848
48	810	843
49	821	821
50	831	798
51	837	773
52	856	759
53	874	744
54	882	721
55	903	709
56	911	687
57	924	669
58	936	650
59	948	632
60	959	613
61	967	592
62	987	579
63	995	559
64	1013	545
65	1021	526
66	1040	512
67	1047	493
68	1054	473
69	1062	455
70	1068	436
71	1090	423
72	1100	407
73	1109	389
74	1157	385
75	1167	368
76	1175	351
77	1183	333
78	1189	316
79	1195	298
80	1203	282
81	1225	269
82	1239	253
83	1247	237
84	1255	221
85	1261	205
86	1267	189
87	1277	174
88	1297	160
89	1309	145
90	1320	130
91	1328	115
92	1334	100
93	1352	86
94	1357	71
95	1363	56
96	1369	42
97	1378	28
98	1383	13
99	1388	0
